"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC10","DeciduousCC20","DeciduousCC40","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC10","MixedwoodCC20","MixedwoodCC40","MixedwoodUP40","Pine10","Pine100","Pine120","Pine140","Pine40","Pine60","Pine80","PineCC0","PineCC10","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC10","WhiteSpruceCC20","WhiteSpruceCC40","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Peat.Mine","Pipeline","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"410","4-14-72-4-NE",0,0,0,0,0,0,0,2.950295167392,4.46249979345,0,0,0,0,0,0,0,0,47.43410253147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46624759341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2861202456811,0,0
"411","4-14-72-4-NW",0,0,0.131464726441,0,0,0,0,0.3815958348726,12.4934368696366,0,0,0,0,0,0,0,0,36.707853665236,0,0,0,0,0,0,0,11.3737913366913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340965784032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66669361276236,0,0
"412","4-14-72-4-SE",0,0,0,0,0,0,0,0,0,0,0,0,0.107826977017,0,0,0,0,54.232697009818,0,0,0,0,0,0,0,0.464753922251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.901102262175,0,3.119801883831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"413","4-14-72-4-SW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.1075692460047,0,0,0,0,0,0,0,0.6738574100008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.922613868021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3347525948799,0,0
"414","4-14-72-5-NE",0,0,0,13.08121622207,0,0,0,0.085480720354,39.558515116653,0,0,0,0,0,0,0,0,0.902169209787,0,0,0,0,0,0,0,2.596718525016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18231796014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60130530307367,0,0
"415","4-14-72-5-NW",0,0,0,8.2566415684571,0,0,0,1.17213724686,30.6284470817576,0,0,0,0,0,0,0,0,9.632667874185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.00735116595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37587280775584,0,0
"416","4-14-72-5-SE",0,0,3.43348500381,1.8493458685578,0,0,0,3.032881116923,3.865380355513,0,0,0,0,0,0,0,0,44.212891440646,0,0,0,0,0,0.570052496905,0,3.0312924373166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00332119653535,0,0
"417","4-14-72-5-SW",0,0,4.027969660881,11.806716732882,0,0,0,5.977061289665,24.0720715934701,0,0,0,0,0,0,0,0,1.73872509745716,0,0,0,0,0,0.4847906136694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8800919521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000420497218126,0,0,0,0,0,0
"418","4-14-72-6-NE",0,0,0,0,0,0,0,0.0145982733446,29.37629041559,0.00410312168859,0,0,0,0,0,0,0,5.97363245525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72990813103,0,0,3.34489603004,10.145002256863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00410312168749,0,0,0,0.440218408676,0,0,0,0.3413065605713,0,0.22928897272
"419","4-14-72-6-NW",0,0,0,0,0,0,0,0,21.268961880868,10.539771490671,0,0,0,0,0,0,0,3.26802363623469,0,0,0,2.181868537192,0,0,0,0,0,0,0,5.12512110306532,0,0,0,0,0,0,0,0,0,0,8.24362185864,0,0.00575615588876,0,0,1.56110478212,0,0,0,0,0,0,0,0,0,12.7273959401975,0,0,0,0.6138100042933,0,0,0,0,0,0
"420","4-14-72-6-SE",0,0,1.675373061589,0.0685927650136,0,0,0,27.342682413162,18.960749004114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9284516852,3.08589816567,0,0,0,0,1.973725074725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53122571349698,0,0
"421","4-14-72-6-SW",0,0,0.0998170934569,5.90083521129932,0,0,0,0.13889181486595,41.2244052390183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18656740434,0.30875431484546,0,3.06820779218569,0,0,0,0,0,0,0,0,0,0,0,0,3.06820779220491,0,0,0,0.1557765039322,0,0,0,0.1074427784212,0,0
"422","4-14-72-7-NE",0,0,3.4855857518,1.78964588899,0,0,0,0,15.232705539952,12.29183632801,0,0,9.78903664271,0,0,0,0,14.48552146856,0,0,0,0,0,0,0,1.589307892484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46236353256,0,0,0,0,0,0,0,12.29183632802,0,0,0,0,0,0,0,0.241553718589,0,0
"423","4-14-72-7-NW",0,0,0,0,0,0,0,0,0,15.15442151677,0,0,22.6112475733526,0,0,0,0,3.42124537293229,0,0,0,0,0,0,8.36668721967764,12.5372441317826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15485163570634,0,0,0,0,0,0,0,0,15.07027442416,0,0,0,0,0,0,0,0.10568218409626,0,1.00012933275
