"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC20","DeciduousCC40","DeciduousCC60","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC20","MixedwoodCC40","MixedwoodCC60","MixedwoodUP60","Pine100","Pine120","Pine140","Pine20","Pine40","Pine60","Pine80","PineCC0","PineCC10","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC20","WhiteSpruceCC40","WhiteSpruceCC60","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Peat.Mine","Pipeline","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"23","4-14-70-13-SW",0,0,7.258333485491,0,0,0,0,0,6.461713193532,0,0,9.43590539043,0,0,0,0,0,7.1537777730274,18.6534658808204,0,0,0,0,3.15746751716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.215435355023,0,0,0,0,2.763808889603,0,0,0,0,0,0,0,0,0,0,18.6534701025349,0,0,0,0,0,0,0,0.236473359953889,0,0
"24","4-14-70-14-NE",0,0,0,0,0,0,0,0,0,0,0.943473771199,0,0,0,0,0,0,9.5918089414548,32.841175853736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.427040705112,0,0,0,0,0,7.82460630766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.290731443306,0,0,0,0,0,0,0,0.1528954088606,0,0
"25","4-14-70-14-NW",0,0,0,0,0,0,0,0,0.69106285923,0,31.5449393597657,0.0348597027134,0,0,0,0,0,6.5011432728298,17.60910211519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54361615154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.1540415240597,0,0,0,0,0,0,0,0.0352768163422,0,0
"26","4-14-70-14-SE",0,0,0,0,0,0,0,0,2.43637803738,0,0,0.882821190313,0,0,0,0,0,16.3696837540098,22.5680705012,0,0,0,0,0,0,0,0,0,0,0.00572812502869,0,0,0,0,17.4737150155562,0,0,0,0,0,0.959774568601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.56807583792,0,0,0,0,0,0,0,0.831818212131657,0,0
"27","4-14-70-14-SW",0,0,0,0,0,0,0,0,0,0,17.552758261066,1.1675078568874,0,0,0,0,0.996144265126,9.973688421401,22.2092732811403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83236187633,0,0,0,0,0,0.2465749154962,0,0,0,0,0,0,0,0,0,0.814047451674,0,0,0,0,0,39.5039776153979,0,0,0,0,0,0.11002377509,0,0.04587346968801,0,0.953177031902
"28","4-14-70-15-NE",4.71562625818,0,0.33708307178,0,0,0,0,0,7.786734002054,0,12.9483844174,1.42124526871,0,0,0,0,0,14.53536882186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.118869328475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.66401067561,0,0,0,0,0,0,0,0.0445089216385,0,0
"29","4-14-70-15-NW",0,0,1.483050263842,0,0,0,0,0,8.78408263375552,0,17.106221962923,0,0,0,0,0,0,0.49782385217301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247564387454,0,0,0,0,0,19.511183765552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.106221962987,0,0,0,0,0,0,0,0,0,0
"30","4-14-70-15-SE",0,0,0,0,0,0,0,0,2.05179169704,0,39.4919945974,1.31506819627,0,0,0,0,0,0.3209587724876,10.17825712813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.757470475441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.67025367439,0,0,0,0,0,0,0,0.100327284098372,0,0
"31","4-14-70-15-SW",0,0,0.0182149676828,0,0,0,0,0,3.81859463309,0,39.645253017821,0,0,0,0,0,0,2.4875698583956,6.7711812893457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.268876923479,0,0,0,0,0,0,0,0.0429074580351,0,0.147572318756
"32","4-14-70-16-NE",0,0,0,0,0,0,0,0,5.717570831302,0,8.19261751766,10.1689478257,0,0,0.000111373426958,0,0,0.716821704113,3.78286543961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.42909552553,0,0,0,0,0,10.544586104368,0,0,0,0,0.0142723720128,0,0,0,0,0,0,0,0,0,0,11.97548281212,0,0,0,0,0,0,0,0,0,0
