"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC20","DeciduousCC40","DeciduousCC60","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC20","MixedwoodCC40","MixedwoodCC60","MixedwoodUP60","Pine100","Pine120","Pine140","Pine20","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC20","WhiteSpruceCC40","WhiteSpruceCC60","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Peat.Mine","Pipeline","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"23","4-14-70-13-SW",0,0,7.258333485499,0,0,0,0,0,6.461713193508,0,0,9.43590539042,0,0,0,0,0,7.1537777730243,18.6534658808198,0,0,0,0,3.15746751717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.215435355049,0,0,0,0,0,2.763808889614,0,0,0,0,0,0,0,0,0,0,18.653470102566,0,0,0,0,0,0,0,0.236473359960997,0,0
"24","4-14-70-14-NE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5352726162013,32.841185950122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.427040705113,0,0,0,0,0,7.82460630764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.347267768611,0,0,0,0,0,0,0,0.2387315053193,0,0
"25","4-14-70-14-NW",0,0,0,0,0,0,0,0,0.691062859261,7.8251082872027,0,7.0242825751635,0,0,0,0,0,23.2315625918849,17.60909253643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54361615153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4342007131127,0,0,0,0,0,0,0,0.110658941537,0,0
"26","4-14-70-14-SE",0,0,0,0,0,0,0,0,2.43637803737,0,0,0.882821190315,0,0,0,0,0,16.3696837540188,22.56807050122,0,0,0,0,0,0,0,0,0,0,0.005728125029,0,0,0,0,17.4737150155587,0,0,0,0,0,0.959774568583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.56807583794,0,0,0,0,0,0,0,0.831818212158762,0,0
"27","4-14-70-14-SW",0,0,0,0,0,0,0,0,0,18.238412166936,0,4.1396218662839,0,0,0,0,0.996144265131,6.315911484295,22.2092831843773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83236187632,0,0,0,0,0,0.2465749154935,0,0,0,0,0,0,0,0,0,0,0.814047451679,0,0,0,0,0,40.1896408991969,0,0,0,0,0,0.110023876378,0,0.04587346968631,0,0.9531770319
"28","4-14-70-15-NE",0,0,0.337083071791,4.71562625816,0,0,0,0,7.786734002061,1.97834366167,0,8.30008224529,0,0,0,0,0,18.62657260102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.118869328479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97834366168,0,0,0,0,0,0,0,0.0445089216513,0,0
"29","4-14-70-15-NW",0,0,1.483050263817,0,0,0,0,0,8.78408263374546,11.0804799048,4.825699332436,0,0,0,0,0,0,1.69786657788519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.511183765583,0.0247564387454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9309356759357,0,0,0,0,0,0,0,0,0,0
"30","4-14-70-15-SE",0,0,0,0,0,0,0,0,2.05179169708,26.0454804573,0,1.31506819626,0,0,0,0,0,13.7674729125916,10.17825712812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.757470475438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.22373953427,0,0,0,0,0,0,0,0.295523936959803,0,0
"31","4-14-70-15-SW",0,0,0.0182149676815,0,0,0,0,0,3.81859463307,1.85656262877,11.039033591642,0,0,0,0,0,0,29.237226655809,6.7711812893318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6284708029225,0,0,0,0,0,0,0,0.5821139684211,0,0.147572318741
"32","4-14-70-16-NE",0,0,0,0,0,0,0,0,5.717570831262,10.1689478257,4.34433413332,0,0,0,0.000111373426958,0,0,4.565105088465,3.78286543963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.544586104282,9.42909552554,0,0,0,0,0.0142723720183,0,0,0,0,0,0,0,0,0,0,27.72524277905,0,0,0,0,0,0,0,0,0,0
"33","4-14-70-16-NW",0,0,0,0,1.07758932049,0,0,0,16.1285086512224,0,0,0.870878072602,0,0,0.001141518520191,0,5.928375090895,2.23906351936,19.349086747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63149525689,0,0,0,0,0,0,0,0,0,0,19.3490900075,0,0,0,0,0,0,0,0.0431818557129,0,0
"34","4-14-70-16-SE",0,0,0.823958073137,0,0,0,0,0,1.799508494983,2.89486512169,9.19522722675,0.00486287299655,0,0,0,0,0,17.39516085829,0.063204937506188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6372127899363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449256290535,0,12.1522021857088,0,0,0,0,0,0,0,0.1954030979736,0,0
"35","4-14-70-16-SW",0,0,0,0.4043324279434,0,0,0,0,33.9299488675083,2.09291329265,0,1.43281081796,0,0,0,0,0,12.355777484292,0.292888604491,0,0,0,0,1.058853415704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91457998774971,0,0,0,0,0,1.04961357203,0,0,0,0,0,0,0,0,0,0,2.385801780111,0,0,0,0,0,0,0,0.290133760392026,0,0.159943197894
"36","4-14-70-17-NE",0,0,0,0,0,0,0,0,39.077481420083,0,0,0,0,0,0,0,0.199833748764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.461927084475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0541999869899,0,0
"37","4-14-70-17-NW",0,0,34.1730448028771,0,0,0,0,0,19.7684185651301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7079209359706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3855129587253,0,0
