"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC10","DeciduousCC20","DeciduousCC40","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC10","MixedwoodCC20","MixedwoodCC40","MixedwoodUP10","MixedwoodUP20","MixedwoodUP40","Pine10","Pine100","Pine120","Pine140","Pine40","Pine60","Pine80","PineCC0","PineCC40","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC10","WhiteSpruceCC20","WhiteSpruceCC40","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Municipal..Water.and.Sewage.","Other.Disturbed.Vegetation","Peat.Mine","Pipeline","Reservoirs","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"35","4-20-77-17-SE",0,0,0,2.832737317979,4.239651119424,0,0,16.640219528281,35.3940436771929,0,0,0,0,0,0,0,1.14697323519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.032194574357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321674414495,0,0
"36","4-20-77-17-SW",0,0,2.64519400567,36.5922248224978,2.082495314613,0,0,0.307253590239,6.99437547094,0,0,0,0,0,0,0,0,7.73034609891682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5961213817158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3297070123749,0,0
"37","4-20-77-18-NE",0,0,0,0,0.319519730397,0,0,2.0692332485976,8.1839550446066,0,0,0,0,0,0,0,0,41.8476479074127,0,0,0,0,0,0,0,0,0,0,5.58254695718,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3521828272542,0,0,0,0,0,0.828899817826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02361246228513,0,1.094468432796
"38","4-20-77-18-NW",0,0,0,0,0,0,0,0,0.313921833634,0,0,0,0,0,0,0,3.983222262021e-06,65.5382138414249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4307244666848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","4-20-77-18-SE",0,0,0,0,0.369381137356,0,0,1.07149185857,15.952591092903,0,0,0,0,0,0,0,0,36.8788914795188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.322197103761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.599904192123,0,0
"40","4-20-77-18-SW",0,0,0,0,0,0,0,0,2.76037781456,0,0,0,0,0,0,0,0,63.7455930276443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1306264868114,0,0
"41","4-20-77-19-NE",0,0,1.064989509994,24.768359577262,4.93674025069,0,0,6.74342117721,0,0,0,0.038171807481,0,0,0,0,0,1.163482826953,0,0,0,0,0,0,0,0,0,0,9.90400586109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96670719825,11.675571252314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48222947091,0,0
"42","4-20-77-19-NW",0,0,24.71737640929,0,0.367600806913,0,0,0,13.513312721967,0,0,3.107026152718,0,0,0,0,0,14.5344689143046,0,0,0,0,0,0,0,0,0,0,0.875523215301,3.9267476788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51624594103,2.695497248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494311224289,0,0
"43","4-20-77-19-SE",0,0,8.74280050214,0.932073831851,0,0,0,0,0.39447143696388,0,0,2.64139821546,0,0,0,0,0,22.2569886117388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.797073333705,0,0,0,0,0,1.130428119316,6.327477241344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482285670259,0,0
"44","4-20-77-19-SW",0,0,0,0,0,0,0,0,0,0,0,11.28374523095,0,0,0,0,11.2071535682966,20.1320817216954,0,0,0,0,0,0,0,0,0,0,0,0.0372184399816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975209897818,12.765298365661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419203249691,0,0
