"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC0","DeciduousCC10","DeciduousCC20","DeciduousCC40","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC0","MixedwoodCC10","MixedwoodCC20","MixedwoodCC40","MixedwoodUP0","MixedwoodUP10","NA.","Pine0","Pine10","Pine100","Pine120","Pine140","Pine20","Pine40","Pine60","Pine80","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC10","WhiteSpruceCC20","WhiteSpruceCC40","Borrow.Pits.Dugouts.Sumps","Cutblock","Industrial.Site.Rural","Mine.Site","Other.Disturbed.Vegetation","Pipeline","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Urban","Well.Site"
"40","4-19-95-18-NE",0,0,0,0,0,0,0,25.260120147472,0,0,0,0,0,0,0,0,2.757269715961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.214294749599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3245194287493,0,0,0
"41","4-19-95-18-NW",0,0,0,0,0,0,0,14.912308812508,0,0,0,0,0,0,0,0,3.9751134283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.79867544053,0.5846766474759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70147591402666,0,0,0
"42","4-19-95-18-SE",0,0,1.6098855612297,0,0,0,0.384918134495,22.257612332707,0,0,0,0,0,0,0,0,2.45866056099551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.87383223628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0848696414715,0,0,0
"43","4-19-95-18-SW",0,0,0,0,0,0,17.4617288244964,35.1021607320687,0,0,0,0,0,0,0,0,0.360011065699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.914716066811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487010453842,0,0,0
"44","4-19-95-19-NE",0,0,1.82574112938,0,0,0,15.4655599905,13.6174238341077,0,0,0,0,0,0,0,0,13.12530291823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.997428347975,6.645084535719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","4-19-95-19-NW",0,0,0,0,0,0,2.1155183092113,20.694260972418,0,0,0,0,0,0,0,0,0.780057318294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.821009724225,6.2714624219674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","4-19-95-19-SE",0,0,0,0,0,0,21.4449700896,7.383548331758,0,0,0,0,0,0,0,0,7.907144020009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.673811868148,0,0,0,1.70999932299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","4-19-95-19-SW",0,0,0,0,0,0,3.80534634746,10.1083011422069,0,0,0,0,0,0,0,0,0.510694910164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.166015797448,0.0936756396969,0,0,0.630153320409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","4-19-95-2-NE",0,0,0.715034513006,0,0,0,0,31.46335045172,0.774243900519,0,0,0,0,0,0,0,8.85971988294,2.54373424336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.97652601,10.732068925505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","4-19-95-2-NW",0,0,0.413396139979,0,0,0,0,34.3978237055039,1.40181271219,0,0,0,0,0,0,0,3.7279484620211,6.841885258756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.620252732297,14.75552791565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102546566013,0,0,0
"50","4-19-95-2-SE",0,0,2.021112325603,0,0,0,0,20.198577202681,0,0,0,0,0,0,0,0,6.1577813140491,3.57929652903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31120408012,33.730920161322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.783417446524,0,0,0
"51","4-19-95-2-SW",0,0,0,0,0,0,0,14.123151710001,0,0,0,0,0,0,0,0,19.3686375545978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72526017084,0,0,0,0,1.39210695905,25.363918168959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75865736325765,0,0,0
"52","4-19-95-20-NE",0,0,0.16090386428,0,0,0,2.06264188686,23.805161559284,2.29584975742,0,0,0,0,0,0,0,14.118450361254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.725952504902,9.478224652441,0,0,3.28703335787,0,0,0,0,2.28198527756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6431047338607
"53","4-19-95-20-NW",0,0,1.71359004905,0,0,0,6.47379595075529,16.2469054261391,0,0,0,0,0,0,0,0,16.81083481982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6150859258461,4.346021706624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3515998832121
"54","4-19-95-20-SE",0,0,7.40170646431,0.874618711083,0,0,4.05699316016,25.096106183915,0.177201446035,0,0,0,0,0,0,0,17.6323796947738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06334762066932,0,0,0,0.00516405783452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58568500788788,0,0,0
"55","4-19-95-20-SW",0,0,0.448369498901,0,0,0,9.458539818953,11.745087829555,0,0,0,0,0,0,0,0,16.469401849366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.439501178901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2492396221856,0,0,0
"56","4-19-95-21-NE",0,0,0,0,0,0,0,8.94700736274,1.20336548849,0,0,0,0,0,0,0,5.9627143101941,15.6092813433,0,0,0,0,0,0,0,0,0,0,0,0,7.26193050982,0,0,0,0,0,0,0,0,0,3.4024930215,0,0,0,0,19.47080293596,0,0,0,0,0,0,0,0,0,2.640884530609,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4864721632434,0,0,0
"57","4-19-95-21-NW",0,0,1.638157339117,0,0,0,0.4178869449744,5.317501143618,0,0,0,0,0,0,0,0,13.815506567754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.680050300054,5.291297818939,0,0,1.821375452879,0,0,0,0,0.000407232235711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","4-19-95-21-SE",0,0,0,0,0,0,0,6.177639848826,0,0,0,0,0,0,0,0,37.01307649264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18279260645,0,0,0,0,8.1710038092,5.604605204543,0,0,0,0,0,0,0,0,0.928671789638,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148992415942,0,0,0
"59","4-19-95-21-SW",0,0,0.317136646285,0.2789699363639,0,0,0,20.711650542692,0,0,0,0,0,0,0,0,6.572447484929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.10088626628,20.299050401158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380432920592,0,0,0
"60","4-19-95-22-NE",0,0,0.372053959208,1.08674210691,0,0,0,5.88481083541193,12.32412804918,0,0,0,0,0,0,0,16.4073607195498,12.332457778493,0,0,0,0,0,0,0,0,0,0,0,9.973629199533,0,0,0,0,0,0,0,0,0,0,0,2.69943001507,0,0,0,0.493143119114,0.972099620173,0,0,0,0,0,0,0,0,1.57380673658,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446872267149,0,0,0
"61","4-19-95-22-NW",0,0,0,0,0,0,0,13.316651215719,6.633578918519,0,0,0,0,0,0,0,17.502473618309,21.365903983059,0,0,0,0,0,0,0,0,0,0,0,1.25000493274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.026536566967,0,0,0,0,0,0,0,0,0,3.53451779301,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55723789399861,0,0,0
