"","QSLinkID","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC0","DeciduousCC10","DeciduousCC20","DeciduousCC40","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC0","MixedwoodCC10","MixedwoodCC20","MixedwoodCC40","Pine100","Pine120","Pine140","Pine20","Pine40","Pine60","Pine80","PineCC0","PineCC10","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC0","WhiteSpruceCC10","WhiteSpruceCC20","WhiteSpruceCC40","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Other.Disturbed.Vegetation","Pipeline","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"21","5-1-90-13-SW",0,0.7423598526606,0,0,0,13.126529053528,29.779753999425,0,0,0,0,0,0,0,14.387121284222,0,0,0,0,0,0,0,0,0,0,0,0,9.16783253134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24311913103099,0,0
"22","5-1-90-14-NE",3.50122512383,4.09573375085,0,0,0,40.7466695581,6.80661580526,0,0,0,0,0,0,0,5.140188822007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.163243227261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48115133728,0,0
"23","5-1-90-14-NW",8.09233761960424,0.358139628371,0,0,0,24.216371124004,0,0,1.836815272492,0,0,0,0,0,16.6385335486859,0,0,0,0.0687004645215,0,0,0,1.514015925182,0,0,0,0,2.475465129734,0,0,0,0.943116380879,0,0,0,0,0,0,0.620414206545,0,0,0,0,0,0,0,0,0,4.063800233368,0,0,0,0,0,0,0,0,1.0118168499163,0,0,0,0,0,0,0,0,0.6576166945054,0,0
"24","5-1-90-14-SE",5.5170024011129,47.412850927672,0,0,0,4.1301199241,0,0,0,0,0,0,0,0,7.799486111803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88049692210783,0,0.559138711766
"25","5-1-90-14-SW",18.006184061082,20.9583978166,0,0,0,0.504764238141,0,0,0,0,0,0,0,1.219501832822,0.11848797502543,0,0,0,0,0,0,0,5.942612082,0,0,0,0,0.334427140223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.73339946753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7391236597501,0,0
"26","5-1-90-15-NE",26.11128455296,2.48357706035,0,0,0,3.12085245388,0,0,0,0,0,0,0,6.902364134044,16.8301526220595,0,0,0,0,0,0,0,6.30775362889e-05,0,0,0,0,2.96161463846549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3775160874097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8180474951867,0,0
"27","5-1-90-15-NW",6.85402186296487,0,0,0,0,0,3.9326593886161,0,0,2.29724579494,0,0,0,0,17.2058799104589,0,0,0,0,0,0,0,0.28947486814,0,0,0,2.66857037726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.859122701402,0,0,0,1.03282002504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6608799929462,0,0
"28","5-1-90-15-SE",0.206570183136,0,0,0,0,7.766627757262,0,0,0,3.72837405381,0,0,0,13.185330271252,22.0937722639278,0,0,0,0,0,0,1.71458701554848,0.80982416205,0,0,0,0,2.294135879075,0,0,0,0.918181950682,0,0,0,0,0,0,0,0,0,0,0,0,2.59166760737,0,0,0,0,1.266389727754,0,0,0,0,0,0,0,0.918182001334,0,0,0,0,0,0,0,0,0.85492728394555,0,0
"29","5-1-90-15-SW",26.666467833876,0,0,0,0,6.2458343709408,0,0,0,0,0,0,0,0,32.37647524773,0,0,0,0,0,0,0,0.701018660473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03181390343724,0,0
"30","5-1-90-16-NE",0,0,0,0,0,5.692932420274,0.0242070694092,0,0,0,0,0,0,0,23.436136404782,0,0,0,0,0,0,0,0,7.0614196905415,0,0,2.810043102311,4.21614473581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6313660272239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6295195309467,0,0
"31","5-1-90-16-NW",0,12.6512405653,0,0,0,6.233101198364,0,0,0,0,0,0,0,0,15.8880078535223,0,0,0,0,0,0,0,0,9.740874117331,0,0,0,4.5496476898256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722157396923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4134946828753,0,0
"32","5-1-90-16-SE",0.0236346478096,0.0468778566548,0,0,0,16.207990409202,0,0,0,0,0,0,0,0,44.058184034963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875240391196,3.11279594687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9553765085695,0,0
"33","5-1-90-16-SW",0,2.420744149034,5.02767510078,0,0,19.6026510615859,0,0,0,0,0,0,0,0,31.3369441301403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.887663544653,0,0,0,0,0,0,0,0,0,0,0,0.022995997991,1.238202609828,6.85643338607,0.0157554205055546,0,0,0,0,0,0,0,0,0,0,0.887663544669,0,0,0,0,0,0,0,0,2.0258035833961,0,0
"34","5-1-90-17-NE",0,0,0,0,0,0.674807884945,0,0,0,0,0,0,0,0,38.6293172703688,2.155682503395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.14757016583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.779480181265,0,0
"35","5-1-90-17-NW",0,0,0,0,0,2.46933081002,0,0,0,0,0,0,0,0,56.07217679898,0.395295876389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7828407044307,0,0
"36","5-1-90-17-SE",0,0,0,0,0,4.8557251653627,0,0,0,0,0,0,0,0,16.706253412538,0,0,0,0,0,0,0,5.538393739751,0,0,0,0,12.2278204239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.973495808772,0,21.51168247677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9060620586544,0,0
