"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC10","DeciduousCC20","DeciduousCC40","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC10","MixedwoodCC20","MixedwoodCC40","MixedwoodUP10","MixedwoodUP20","NA.","Pine10","Pine100","Pine120","Pine140","Pine20","Pine40","Pine60","Pine80","PineCC0","PineCC10","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC20","WhiteSpruceCC40","Borrow.Pits.Dugouts.Sumps","Cutblock","Industrial.Site.Rural","Mine.Site","Other.Disturbed.Vegetation","Pipeline","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Urban","Well.Site"
"26","4-19-95-14-SE",0,0,8.6902869530721,0,0,0,0,7.47419576252,6.136082377678,0,0,22.064195302026,0,0,0,4.34873593084,0,9.120129241915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3159090289674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","4-19-95-14-SW",0,0,1.78489872813,2.09824012657,0,0,0,29.892486777353,1.117906589555,0,0,1.169128374809,0,0,0,0,0,3.384247453649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.348287217708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441321385267,0,0,0
"28","4-19-95-15-NE",0,0,0.554096636692,0,0,0,0,0.0240793081094,5.32911352937,0,0,2.09526100892,0,0,0,0,0,56.876985770753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0658681319308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51526787729466,0,0,0
"29","4-19-95-15-NW",0,0,0.389593825079,0,0,0,0,5.994591210212,1.754131791494,0,0,0,0,0,0,0,0,45.60676636529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5697989204,9.24836098031258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.527218971885193,0,0,0
"30","4-19-95-15-SE",0,0,0.742122123063,0,0,0,0,7.9625206038188,1.233349570975,0,0,0.74587977053,0,0,0,0,0,16.167455777475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.999969258771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2973659125711,0,0,0
"31","4-19-95-15-SW",0,0,0.656396990151,0,0,0,0,19.033984958397,3.947604237712,0,0,0,0,0,0,0,0,33.8355080447451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26197442902,6.50547695292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","4-19-95-16-NE",0,0,4.9485697253485,0,0,0,0,17.41863447613,1.28101985928,0,0,0,0,0,0,0,4.93078918526,23.115836488176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14038828538,8.110837988597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1777796108664,0,0,0
"33","4-19-95-16-NW",0,0,1.64183743909,1.48630692078,0,0,0,0.202512162164,3.343903878709,0,0,0,0,0,0,0,0,41.8324316381441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63624963111,0,0,0,0,0,13.09195086305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","4-19-95-16-SE",0,0,0.647944882111,1.04783761181097,0,0,0,0.750276874603,4.538898404837,0,0,0,0,0,0,0,0,59.1620950991493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4022988907624,0,0,0
"35","4-19-95-16-SW",0,0,0.532793785285,8.6680447612944,0,0,0,0,1.247656256715,0,0,0,0,0,0,0,5.536929078814,52.2563073910812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5344075052718,0,0,0
"36","4-19-95-17-NE",0,0,0.244466393736,0.0657428601672,0,0,0,0.0590731875415,47.02473565281,0,0,0,0,0,0,0,0.0324735514685,16.920235932868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","4-19-95-17-NW",0,0,2.62153950908,0,0,0,0,0.711321770258,39.9087129855668,0,0,0,0,0,0,0,5.22294507223,6.603053996255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0533021105063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7243926021925,0,0,0
"38","4-19-95-17-SE",0,0,0.934697994545,15.638285825814,0,0,0,4.5379109649595,17.641649218739,0,0,1.211899834605,0,0,0,0,7.17982535594,18.1369395615993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30257170376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5291174033924,0,0,0
"39","4-19-95-17-SW",0,0,0,1.861156299041,0,0,0,31.106720629154,21.974515652188,0,0,0,0,0,0,0,0,7.7504015726461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5499454150064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71005246532504,0,0,0
"40","4-19-95-18-NE",0,0,0,0,0,0,0,0,25.260120147462,0,0,0,0,0,0,0,0,2.757269715961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470537390917,16.743757358661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3245194287493,0,0,0
"41","4-19-95-18-NW",0,0,0,0,0,0,0,0.552748093523,14.359560718979,0,0,0,0,0,0,0,0,3.9751134283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5846766474759,0,0,0,0,0,12.79867544052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70147591402666,0,0,0
