"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC20","DeciduousCC40","DeciduousCC60","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC20","MixedwoodCC40","MixedwoodCC60","MixedwoodUP20","MixedwoodUP60","Pine100","Pine120","Pine140","Pine20","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","PineCC60","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC20","WhiteSpruceCC40","WhiteSpruceCC60","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Municipal..Water.and.Sewage.","Other.Disturbed.Vegetation","Peat.Mine","Pipeline","Reservoirs","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"22","4-20-77-14-NW",0,0,16.0041729136,21.694619825152,7.82690596694,0,0,0,3.803222817421,0,0,2.834188206275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311160052588,0,0,0,0,0,0.05891465599763,0,0.33615850066
"23","4-20-77-14-SE",0,0,11.139326340749,16.430620587194,7.477182733278,0,0,0,0,0,0,0.837634044306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3475086819422,0,0
"24","4-20-77-14-SW",0,0,7.6638940724818,25.0131085886681,2.9037472737815,0,0,0,16.015145544643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3291868619798,0,0
"25","4-20-77-15-NE",0,0,0.463628737627,6.03965876934196,45.7131765875,0,0,0,1.13936305301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287947931739,0,0
"26","4-20-77-15-NW",0,0,5.36106664526085,10.553975801449,15.4891717612193,0,0,0,21.3283485177529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0055349102241,0,0,0,0,0,0.559063151495,0,0
"27","4-20-77-15-SE",0,0,0.620925275255,18.3187220866982,4.258666353697,0,0,11.2897727804,4.289190037887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124121604504,0,0
"28","4-20-77-15-SW",0,0,29.5589577402149,6.878800604166,2.119096038787,0,0,0,15.541401829837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146540306656,0,0,0,0,0,0.2678441311272,0,0.358925512174
"29","4-20-77-16-NE",0,0,3.45709770169,0,0,0,0,7.39674683041,37.794974254628,0,0,0,0,0,0,0,0,2.29840578075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.942686292674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441184192256,0,0
"30","4-20-77-16-NW",0,0,0.6418941006902,0,0,0,0,8.212707644374,37.291899819296,0,0,0,0,0,0,0,0,3.3518713544273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.570218082471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4624343916227,0,0
"31","4-20-77-16-SE",0,0,19.567123177445,0,0,0,0,7.08970520357,18.576896888338,0,0,0,0,0,0,0,0,2.085248511903,0,0,0,0,3.0426518232,0,0,0,0,0,0,0,0,0,0,0,0,0.176669137645,0,0,0,0,0,6.018456736353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04265182319,0,0,0,0,0,0,0,0,0,0,0,0.19401551312422,0,0.285510553057
