"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC40","DeciduousCC60","DeciduousCC80","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC40","MixedwoodCC60","MixedwoodCC80","Pine100","Pine120","Pine140","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","PineCC40","PineCC80","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC60","WhiteSpruceCC80","Borrow.Pits.Dugouts.Sumps","Cutblock","Industrial.Site.Rural","Other.Disturbed.Vegetation","Pipeline","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"24","5-1-84-14-SE",0,0,0,0,3.226080157007,0,0,0,0,5.26831549014,0,0.455408766796,51.957461841912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26831549017,0,0,0,0,0,0,0,0,0,0
"25","5-1-84-14-SW",0,0,0,1.096241480056,1.25775434654,0,0,0,0,0,0,0.4045420481996,55.6129570554789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.600852543181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4012434852307,0,0
"26","5-1-84-15-NE",0,0,0,1.106483411646,0.116007777417,0,0,0,0,25.119886676434,0,0.501976553854,21.9866309161624,0,0,0,0,1.53399135402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.203398021079,0,0,0,0,0,0,0,1.82188887064,0,0,0,0,0,0,0,0,0,0,0,0,0,26.9417752486557,0,0,0,0,0,0,0,0.145140281585,0,0
"27","5-1-84-15-NW",0,0,0,0,0.2764657783589,0,0,0,0,28.8214430315,0,0,22.14739886284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.868124071032,0,0,0,0,0,0,0.0142579834374,2.7052902102021,0,0,0,0,0,0,0,0,0,0,0,0,0,31.5409915240626,0,0,0.4288508303839,0,0,0,0,0.3587872852895,0,0.0714720247705
"28","5-1-84-15-SE",0,0,0,1.89135737602572,0.8712860163286,0,0,0,0,1.22580691675,0,3.57493764799,50.9513182775885,0,0,0,0,0,0,0,0,0,0,1.0221690797,0,0,0,0,0,0,0,0,0,0,0.6228703403023,0,0,0,0,0,0,0,0,0,0,0,0,0,1.545858540097,0,0,0,0,0,0,0,1.22580691676,0,0,0,0,0,0,0,0.39204504213504,0,0
"29","5-1-84-15-SW",0,0,0,2.848762681298,6.450828977554,0,0,0,0,4.2092785377865,0,0,34.9158341214065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.378306491964,6.0650582603379,0,0,0,0,0,0.0322244272575,6.825096350093,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0665992385279,0,0,0.13157355704417,0,0,0,0,0.36752513593323,0,0
"30","5-1-84-16-NE",0,0,0,16.5733655158545,13.813330095638,0,0,0,0,0,0,0,24.346108575187,0,0,0,0,0,0,0,0,0,0,0,1.55599532777,0,0,0,0,0,0,0,0,0,0.969491806183,0,0,0,0,0,0,0.674111492531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.674111492536,0,0,0.552856779929,0,0,0,0,0.0299542179023,0,0.19679333705151
"31","5-1-84-16-NW",0,0,0,43.4023165133484,2.742716518325,0,0,0,0,0,0,0,6.95648312215579,0,0,0,0,0,0,0,0,0,0,2.03185531276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.613872301068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.613872301082,0,0,0,0,0,0,0,0.0690328092411,0,0
"32","5-1-84-16-SE",0,0,0,21.051508034573,0.706080325412,0,0,0,0,0,0,0,11.5897761243644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.306425014869,2.244720513119,0,0,0,0,0,12.3285552186,7.308300680623,0,0,0,0,0,0,0,0,0,0,0,0,0,19.636855975347,0,0,1.50689450751696,0,0,0,0,0.0622910259357,0,0.0953603076338
"33","5-1-84-16-SW",0,0,0,14.0707390411901,4.663092814459,0,0,0,0,0,0,0,40.7119500913926,0,0,0,0,0,0,0,0,0,0,0,2.234589885103,0,0,0,0,0,0,0,0,0,2.59702294066305,0,0,0,0,0,0,0,3.55651999683,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55651999684,0,0,0,0,0,0,0,0.4959467835949,0,0
