"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC40","DeciduousCC60","DeciduousCC80","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC40","MixedwoodCC60","MixedwoodCC80","Pine100","Pine120","Pine140","Pine40","Pine80","PineCC0","PineCC10","PineCC20","PineCC40","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruceCC40","WhiteSpruceCC60","WhiteSpruceCC80","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Peat.Mine","Pipeline","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"1835","4-19-70-35-NW",0,0,0.355245165148,0,0,0,0,0,0,14.793613181635,0,6.60745949461072,0,1.33520412052,10.3292959692165,0,0,0.819291372634,0,3.96970494375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04221669634,0,0,0,0,0.280949669817,1.30972771583,0,0,0,0,0,0,30.1348309914715,0,0,0,0,0,0,0,0.123709886897,0,0
"1836","4-19-70-35-SE",0,0,0,8.88549500491,32.007208508736,0,0,0,0,0,11.27073142709,5.777876636292,0,0.352717243499,2.865419668401,0,0,0,0,2.064657646544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.200808677031,0,0,0,0,0,0,0,0.3119271504087,0,0
"1837","4-19-70-35-SW",0,0,6.24477436139,0,0,0,0,0,0,0,11.37633544828,27.989861364014,0,0.00492665420628,0,0,0,0,0,2.4010032618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28963794677,0,0,0,0,1.18836583119,0,0,0,0,0,0,0,18.06697665685,0,0,0,0,0,0,0,0.6969457454527,0,0
"1838","4-19-70-36-NE",0,0,7.8377352359409,8.27470224964,26.564372047756,0,0,0,7.00934751843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479484306476012,0,0
"1839","4-19-70-36-NW",0,0,14.2345354284695,0,30.5342274917999,0,0,0,0,0,0,0.00919309567074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.735847358072181,0,0
"1840","4-19-70-36-SE",0,0,0,10.666204647119,13.5298824396756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266443452868,0,0
"1841","4-19-70-36-SW",0,0,0,4.46671521306,13.28844819187,0,0,0,0,0,0,2.434651974111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0522213787879,0,0
"1842","4-19-70-9-NE",0,0,0,0,0,0,0,0,0,0,2.159929343902,49.9836083886,0,0.3241292811596,0,0,0,0.0918005224646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15992934391,0,0,0,0,0,0,0,0,0,0
"1843","4-19-70-9-NW",0,0,0,0,0,0,0,0,0,0,0,6.52147367454,0,1.837616333552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1844","4-19-70-9-SE",0,0,0,0,0,0,0,0,0,0,0,0.0143657350091,0,0,0,0,0,0.0271516939358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1845","4-19-71-1-NE",0,0,6.60009757763,16.468111784223,0,0,0,0,0,0,14.4807288243,0,0,0.0281935519951,0.735732458247,0,0.0952766636054,0,0,5.14413867165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.360600014467,0,0,0,0,0,0,0,0.49146814675024,0,0
"1846","4-19-71-1-NW",0,0,34.39155061598,19.198753982818,3.6383594733968,0,0,0,0,0,0.830808996865,2.5615341472858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.830808996865,0,0,0,0.0115778497465,0,0,0,1.61344360563764,0,0.258696544757
"1847","4-19-71-1-SE",0,0,4.012233138278,7.9505485984538,0,0,0,0,0,14.712303742724,1.13499364877,0,0.666269744284,1.22900861196,3.25253502014,0,0.46180659112,0,0,14.7557623566,0,0,0,0,3.63667613752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.29240698653,0,0,0.642696725384,0,0,0,0,0,0,0,33.855594200742,0,0,0,0,0,0,0,0.2646765319951,0,0
"1848","4-19-71-1-SW",0,0,0,3.55692638856,0,0,0,0,0,0,0.0865637989304,22.3891417030898,1.05534747203,0,13.763460853746,0,0,0,0,0,0,0,0,0,1.61224029012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4856148713904,0,0,0.3182941241213,0,0,0,0,0,0,0,13.8500246526703,0,0,0,0.2675274087866,0,0,0,0.67118965905975,0,0.0797930204835
"1849","4-19-71-10-NE",0,0,0,0,0,0,0,0,0,7.948016099926,1.2828955237231,3.00706166217,0.0768345780549,34.8586738856783,0,0,0,0,0,0,0,2.22717674211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37063690426,0,0,9.6079393165,0,0,0,0,0,0,0,9.23091162361882,0,0,0,0.404573522055,0,0,0,0.30518474846,0,0.207783130775
"1850","4-19-71-10-NW",0,0,0,0,0,0,0,0,0,0,0,0,0,8.47287662732275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.31504694232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1851","4-19-71-10-SE",0,0,3.50347074516,5.003910332,0,0,0,0,0,9.318714541459,0,12.2393581266842,1.39783368267,7.11996406607,0.786224004767,0,0.000404757166886,0,0,12.7947676133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.736474619226,0,0,0,9.22152893975,0,0,0,0,0,0,0,22.899706351227,0,0,0,0,0,0,0,0.178401725653649,0,0
"1852","4-19-71-10-SW",0,0,0,0,0,0,0,0,0,0,0,13.43896754103,0.221759276287,15.013198158508,2.117696993208,0,0.000748082773307,0,0,0.540154753519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23501472507,0,0,0,0,0,0,0,2.657851705002,0,0,0,0,0,0,0,0,0,0
"1853","4-19-71-11-NE",0,0,21.658305322544,7.830993869425,0.601636285838,0,0,0,0,5.523174561317,0.536522875746,0,0,2.89760220532,0,0,0,0,0,0,0,0,0,0,3.55957908795,8.802878274534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55762583529,0,0,0.642011192844,2.88255118156,0.00472949364876,0,0,0,0,0,0,6.059697437057,0,0,0,0.588151519486626,0,0,0,0.24028798830829,0,0.240265318309
"1854","4-19-71-11-NW",0,0,17.543520294544,20.775239164441,3.140219513654,0,0,0,0,12.7831296878013,1.1754665403,1.280456391396,4.498276684911,0,0,0,0,0,0,0,0,0,0,0,1.175802995817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.679722045266,0,0,0,0,0,0,0,0,0,0,13.9585962280822,0,0,0,0.426834871384,0,0,0,0.50233346834115,0,0
"1855","4-19-71-11-SE",0,0,20.382287704604,26.364524847699,13.691284508176,0,0,0,0,3.3817952507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38179525073,0,0,0,1.14428786125,0,0,0,1.14025966750318,0,0
