"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC40","DeciduousCC60","DeciduousCC80","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC40","MixedwoodCC60","MixedwoodCC80","MixedwoodUP60","MixedwoodUP80","NA.","Pine100","Pine120","Pine140","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","PineCC40","PineCC60","PineCC80","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC40","WhiteSpruceCC60","WhiteSpruceCC80","Borrow.Pits.Dugouts.Sumps","Cutblock","Industrial.Site.Rural","Mine.Site","Municipal..Water.and.Sewage.","Other.Disturbed.Vegetation","Pipeline","Rail..Hard.Surface","Rail..Vegetated.Verge","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Urban","Well.Site"
"21","4-1-85-15-SE",0,0,18.4818683209269,3.0080715990152,38.1171527777764,0,0,0,3.08480687432,0,0,0,0,0,0,0,0,0.496424234657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.540172313492,2.42176141544,0,0,0.120374959865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","4-1-85-15-SW",0,0,26.380199072545,27.8288256121937,3.16367119959143,0,0,0,0,0,0,0,0,0,0,0,0,0.45452633804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.890016340609,0,0,0,3.2114893249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","4-1-85-16-NE",0,0,13.75906075553,15.574118768495,24.913043959957,0,0,0,10.13942586581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.456069975778,0,0,0
"24","4-1-85-16-NW",0,0,4.502273730775,30.398522783169,19.9635382853135,0,0,0,8.6780718465306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70747839998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","4-1-85-16-SE",0,0,5.72064437811,14.2762925500763,45.261083546856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00333043856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500838395368,0,0,0
"26","4-1-85-16-SW",0,0,16.38449094445,5.3975822780811,39.513014756405,0,0,0,0.318909322869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.516485250216,4.78884620244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2028638698102,0,0,0
"27","4-1-85-17-NE",0,0,12.276026848459,37.738876280502,14.292947332255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3245527642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","4-1-85-17-NW",0,0,0,34.647852519077,13.7665013680291,0,0,0,4.25161687054,0,0,0.0456350081187,2.46723680278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.173039989924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8980041699971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","4-1-85-17-SE",0,0,9.756392363361,43.892686403787,12.1104111341494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.501957547136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","4-1-85-17-SW",0,0,1.94968705367,57.8751059234018,1.03545245623691,0,0,0,0,0,0,1.654091621082,0,0,0,0,0.452627014806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","4-1-85-18-NE",0,0,11.862114225292,6.338028556016,0.863083083611,0,0,0,0,0,0,0,15.5214000353111,0,0,0,0.0801511017456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.34894570202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.021297567107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","4-1-85-18-NW",0,0,3.654909059558,0.537056022679,2.34798569344,0,0,0,0,0,0,0,36.673904517369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40227948758242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
