"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC40","DeciduousCC60","DeciduousCC80","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC40","MixedwoodCC60","MixedwoodCC80","MixedwoodUP80","Pine100","Pine120","Pine140","Pine40","Pine80","PineCC0","PineCC10","PineCC20","PineCC40","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruceCC40","WhiteSpruceCC60","WhiteSpruceCC80","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Peat.Mine","Pipeline","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"39","4-14-70-17-SW",0,0,0,27.6112027768653,18.148726781819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1310900522266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67695661710617,0,0
"40","4-14-70-18-NE",0,0,0,11.781626843095,16.88314248637,0,0,0,0,5.969338821072,0,0,2.05532780704,0,0,0,0,0,0,0,0,0,0,0,0,20.456776353984,0,0,0,0,0,0,0,0,0,2.530874342971,0,0,0,0,0,2.4709682032827,0,0.643619655296,0,0,0.131631145072,0,0,0,0,0,0,0,0,8.4403070243873,0,0,0,0,0,0,0,0.10118501606227,0,0
"41","4-14-70-18-NW",0,0,0,9.926043616108,1.979423701174,0,0,0,0,12.122126984346,0,18.760155813832,1.5850993614016,0,0,0,0,0,0,0,0,0,0,0,0,4.37315163873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41359026758,0,0,0,6.4651877962523,4.571098924826,0,0,0,0,0,0,12.122126984345,0,0,0,0,0,0,0,0.22983490657541,0,0
"42","4-14-70-18-SE",0,0,0,23.532829867791,22.4974345800577,0,0,0,0,3.09423952099,0,0,0.180499331674,0,6.644036971382,0,0,0,0,0,0,0,0,0,0,4.33294470161,0,0,0,0,0,0,0,0,0,1.0625068242665,0,0,0,0,0,0,0.828265066479,0.80732357743,0,0,2.1554053534,0,0,0,0,0,0,0,0,10.566541558833,0,0,0,0,0,0,0,0.816980286296081,0,0
"43","4-14-70-18-SW",0,0,0,34.3973074017302,12.9098246581,0,0,0,0,2.2619860818,0,0,0.12086248905,0,0.5251074440137,0,0,0,0,0,0,0,0,0,0,3.916196517434,0,0,0,0,0,0,0,0,0,2.258208363461,0,0,0,0,0,0,0,0.484499948399,0,0,0,8.96668990539163,0,0,0,0,0,0,0,2.7870935258003,0,0,0,0,0,0,0,1.37648992020183,0,0
"44","4-14-70-19-NE",0,0,0,22.36894454492,0.444812538647,0,2.91697492289,0,0,0,1.01732088783,0.0127226330685,6.76921008329,0,0,0,0,0,0,0,0,0,0,0,2.67576892487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402307891403,2.24508821808,3.57774837799,0,0,0,0,0,0,0,0,0,0,0,0,10.159439434676,0,0,0,0,0,0,0,0.41851028686753,0,0
"45","4-14-70-19-NW",0,0,0,11.1111072674666,3.61711727035,0,1.19514271904,0,0,6.36636847271,6.21847084859838,0,11.7416228459458,0,0.032555368051,0,0,0,0,0,0,0,0,0,0.17530049669,0,0,0,0,0,0,0,0,0,0,2.03379841663,0,0,0,0,0,0,0,5.24612035876,0.00045874940329,0,1.52052972461,0.7678461286,5.11640377417,0,0,0,0,0,0,13.8125374080553,0,0,0,0,0,0,0,0.135771386637369,0,0
"46","4-14-70-19-SE",0,0,0,36.058490997342,9.869048456613,0,0,0,0,0.143670204341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271928052312,0,0,0,0,0,0,0,0,0,0,1.535534681665,0,0,0,0,0,15.609547778509,0,0,0,0,0,0,0,0,0,0,0,0,0,15.753217982831,0,0,0,0,0,0,0,0.32171830697,0,0
"47","4-14-70-19-SW",0,0,0,51.3807885179003,2.03498820529,0,0,0,0,0,0,0,4.502465406424,0,0,0,0,0,0,0,0,0,0,0,0.213971832952,0,0,0,0,0,0,0,0,0,0,0.455381905642,0,0,0,0,0,0,0,0,0,0,0,1.7417296710085,1.314545712591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27437079176328,0,0.2743408748304
"48","4-14-70-2-NE",0,0,0,8.74063343150588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.86887704377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8468830842212,0,0,0,0,0,5.24143129265,0,0,0,0,0,0,0,0,0,0,0,0,0,34.11030803356,0,0,0,0,0,0,0,0.2073909572045,0,0
