"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC10","DeciduousCC20","DeciduousCC40","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC10","MixedwoodCC20","MixedwoodCC40","MixedwoodUP40","Pine10","Pine100","Pine120","Pine140","Pine40","Pine60","Pine80","PineCC0","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC10","WhiteSpruceCC20","WhiteSpruceCC40","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Peat.Mine","Pipeline","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"13","4-14-70-11-NW",0,0,0.888066737208,0,0,0,0,14.543007828084,0.8377010044187,0,0,0,0,0,0,0,0,24.9253104328602,0,16.9106477599,0,0,0.000188836147074,0,0,0,0,0,0,0.100419859961,0,0,0,0,0,0,0,0,0,0,1.74355150475,0,0,0,0,1.62185601574,0,0,0,0,0,0,0,0,16.910646420904,0,0,0,0,0,0,0,0,0,0
"14","4-14-70-11-SE",0,0,15.41789969074,0,0,0,0,1.82904299763,10.412366473137,0,0,0,0,0,0,0,0,0,0,14.49208781887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8520618105803,0,0,0.000305408152561,0,0,0,0,0,0,0,0,0,0,14.49208823222,0,0,0,0,0,0,0,0.47343279532177,0,0
"15","4-14-70-11-SW",0,0,14.0404628173527,0,0,0,0,6.74878511584,20.163166580837,0,0,0,0,0,0,0,0,0.0396368812406,0,1.03035193038151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.886660030479,0,0,2.46682097677e-05,0,0,0,0,0,0,0,0,0,0,1.03034909598478,0,0,0,0,0,0,0,0.2373926371912,0,0
"16","4-14-70-12-NE",0,0,6.132390729584,3.526793725571,0,0,0,0,4.69199057857,0,0,0,0.532782780688,0,0,0,0,0.878786693913,0,22.5689704099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5689704323,0,0,0,0,0,0,0,0.1621882054897,0,0
"17","4-14-70-12-NW",0,0,16.784400372161,0,0,0,0,0,23.0769336464766,0,0,0,0,0,0,0,0,0.482250102182,0,13.024048202952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.504111830731,0,9.735115749422,0,0,0,0,0,0,0,13.024048072677,0,0,0,0,0,0,0,0,0,0
"18","4-14-70-12-SE",0,0,6.1056422782679,0,0,0,0,0,2.374636370859,0,0,0,0.0359354995964,0,0,0,0,8.46166106069,0,39.1456425483884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395106075213,0,0,0,0,0,0,0,0,0,0,0,0,0,39.1456437733391,0,0,0,0,0,0,0,0.4089713341677,0,0
"19","4-14-70-12-SW",0,0,8.652010965269,0,0,0,0,0,19.2986878159085,0,0,0,0,0,0,0,0,0.105171598848,0,20.7622106025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.335039413271,0,0,0,7.07844395949,0,0,0,0,0,0,0,0,0,20.7622088664,0,0,0,0,0,0,0,0.2449627116297,0,0
"20","4-14-70-13-NE",0,0,0,3.62580389166,0,0,0,0,5.2500655564113,0,0,0.0304538069281,0,0,0,0.281516087694,0,34.8446545549731,0,0,1.21350101317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308585089974,4.76784454002,0,0,0,3.300081325765,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21349691391,0,0,0,0,0,0.00469404578827,0,0.2418443504173,0,0
"21","4-14-70-13-NW",0,0,0,0,0,0,0,0,0.0295437558836,0,0,0,0,0,0,0,0,11.938206900926,0,31.318165031542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4859167512452,1.0301599229,0,0,0,0,0,0,0,0,0,0,0,0,23.69774162261,0,0,0,0,0,0,0,0.249956283161,0,0
"22","4-14-70-13-SE",0,0,0.00106041347976,0.390078197033,0,0,0,0,4.87107581787,0,0,0,0,0,0,0,0,33.204385155816,0,13.56767835077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.56768259492,0,0,0,0,0,0.00216449595688,0,0.71418276695221,0,0
"23","4-14-70-13-SW",0,0,7.258333485491,0,0,0,0,0,6.461713193532,0,0,0,0,0,0,0,0,16.5896831634574,0,18.6534658808204,0,0,0,3.15746751716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.215435355023,0,0,0,2.763808889603,0,0,0,0,0,0,0,0,0,18.6534701025349,0,0,0,0,0,0,0,0.236473359953889,0,0
"24","4-14-70-14-NE",0,0,0,0,0,0,0,0,0,0.943473771199,0,0,0,0,0,0,0,9.5918089414548,0,32.841175853736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.251647012772,0,0,0,0,0,0,0,0,0,0,0,0,0,31.290731443306,0,0,0,0,0,0,0,0.1528954088606,0,0
"25","4-14-70-14-NW",0,0,0,0,0,0,0,0,0.69106285923,31.5449393597657,0,0,0,0,0,0,0,6.5360029755432,0,17.60910211519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54361615154,0,0,0,0,0,0,0,0,0,0,0,0,0,49.1540415240597,0,0,0,0,0,0,0,0.0352768163422,0,0
"26","4-14-70-14-SE",0,0,0,0,0,0,0,0,2.43637803738,0,0,0,0,0,0,0,0,17.2525049443228,0,22.5680705012,0,0,0,0,0,0,0,0,0,0.00572812502869,0,0,0,0,0,0,0,0,0,0,18.4334895841572,0,0,0,0,0,0,0,0,0,0,0,0,0,22.56807583792,0,0,0,0,0,0,0,0.831818212131657,0,0
"27","4-14-70-14-SW",0,0,0,0,0,0,0,0,0,17.552758261066,0,0,0,0,0,0,0.996144265126,11.1411962782884,0,22.2092732811403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0789367918262,0,0,0,0,0,0,0,0.814047451674,0,0,0,0,0,39.5039776153979,0,0,0,0,0,0.11002377509,0,0.04587346968801,0,0.953177031902
"28","4-14-70-15-NE",4.71562625818,0,0.33708307178,0,0,0,0,0,7.786734002054,12.9483844174,0,0,0,0,0,0,13.10257490905,2.85403918152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.118869328475,0,0,0,0,0,0,0,0,0,0,0,0,0,17.66401067561,0,0,0,0,0,0,0,0.0445089216385,0,0
"29","4-14-70-15-NW",0,0,1.483050263842,0,0,0,0,0,8.78408263375552,17.106221962923,0,0,0,0,0,0,0.00626949880801,0.491554353365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247564387454,0,0,0,0,19.511183765552,0,0,0,0,0,0,0,0,0,0,0,0,0,17.106221962987,0,0,0,0,0,0,0,0,0,0
"30","4-14-70-15-SE",0,0,0,0,0,0,0,0,2.05179169704,39.4919945974,0,0,0,0,0,0,0,1.6360269687576,0,10.17825712813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.757470475441,0,0,0,0,0,0,0,0,0,0,0,0,0,49.67025367439,0,0,0,0,0,0,0,0.100327284098372,0,0
"31","4-14-70-15-SW",0,0,0.0182149676828,0,0,0,0,0,3.81859463309,39.645253017821,0,0,0,0,0,0,0,2.4875698583956,0,6.7711812893457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.268876923479,0,0,0,0,0,0,0,0.0429074580351,0,0.147572318756
"32","4-14-70-16-NE",0,0,0,0,0,0,0,0,5.717570831302,8.19261751766,0.000111373426958,0,0,0,0,0,0,10.885769529813,3.78286543961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.42909552553,0,0,0,0,10.544586104368,0,0,0,0.0142723720128,0,0,0,0,0,0,0,0,0,11.97548281212,0,0,0,0,0,0,0,0,0,0
"33","4-14-70-16-NW",0,0,0,0,1.07758932048,0,0,0,16.1285086512363,0,0.001141518523354,0,0,0,0,0,8.167438610207,0.870878072595,19.3490867471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.631495256887,0,0,0,0,0,0,0,0,0,19.3490900075,0,0,0,0,0,0,0,0.0431818556294,0,0
