"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC40","DeciduousCC60","DeciduousCC80","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC40","MixedwoodCC60","MixedwoodCC80","MixedwoodUP40","MixedwoodUP60","MixedwoodUP80","Pine100","Pine120","Pine140","Pine40","Pine80","PineCC0","PineCC10","PineCC20","PineCC40","PineCC80","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC40","WhiteSpruceCC60","WhiteSpruceCC80","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Municipal..Water.and.Sewage.","Other.Disturbed.Vegetation","Peat.Mine","Pipeline","Reservoirs","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"25","4-20-77-15-NE",0,0,0,1.13936305301,52.216464094469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287947931739,0,0
"26","4-20-77-15-NW",0,0,19.5451364045446,2.01244938267625,31.1749769384612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0055349102231,0,0,0,0,0,0.559063151495,0,0
"27","4-20-77-15-SE",0,0,11.865109399617,3.71385341867,23.1983137156502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124121604504,0,0
"28","4-20-77-15-SW",0,0,15.2924084295753,28.6583726051227,10.1474751783069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146540306656,0,0,0,0,0,0.2678441311272,0,0.358925512174
"29","4-20-77-16-NE",0,0,38.017839779245,10.630979007483,0,0,0,0,0,2.29840578075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.942686292674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.241092073413,0,0,0,0,0,0,0,0,0,0,0,0.441184192256,0,0
"30","4-20-77-16-NW",0,0,44.340850519197,1.380531742745,0.4251193024182,0,0,0,0,3.3518713544273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.570218082471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9220894368732,0,0,0,0,0,0,0,0,0,0,0,0.3752471960537,0,0
"31","4-20-77-16-SE",0,0,21.28962748203,22.971360694934,0.972737092385,0,0,0,0,1.189514516522,0,0.895733995385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0426518232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176669137645,6.018456736356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.427292213663,0,0,0,0,0,0,0,0,0,0,0,0.17148883347222,0,0.285510553057
"32","4-20-77-16-SW",0,0,30.7592474535703,16.503239592687,8.6088273176256,0,0,0,0,0.0195317958752,0,5.075954091831,1.37241919702779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359315810287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0554633768998,0,0,0,0,0,0,0,0,0,0,0,0.2832882994022,0,0
"33","4-20-77-17-NE",0,0,28.067030761561,32.275640838685,4.314204833495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26227617018e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2622762159e-07,0,0,0,0,0,0,0,0,0,0,0,0.482400653988,0,0
"34","4-20-77-17-NW",0,0,1.8023807025183,21.238844001392,21.445212769331,0,0,0,0,0,0.459451374793,0,10.3233436569854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8855661731393,0,0,0,0,0,6.82477118432,0,0,0,0.1882441508045,0,0,0,0,0,0,0,0,0,0,0,0,7.2842225591228,0,0,0,0,0,0,0,0,0,0,0,0.6715266807705,0,0
