"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC20","DeciduousCC40","DeciduousCC60","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC20","MixedwoodCC40","MixedwoodCC60","Pine100","Pine120","Pine140","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC20","WhiteSpruceCC40","WhiteSpruceCC60","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Other.Disturbed.Vegetation","Pipeline","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"21","5-1-90-13-SW",0,0,29.779753999426,0,0.7423598526606,0,0,13.126529053528,0,0,0,0,0,0,0,0,14.387121284221,0,0,0,0,9.16783253134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24311913103099,0,0
"22","5-1-90-14-NE",0,0,6.80661580527,3.50122512382,4.09573375085,0,0,40.7466695581,0,0,0,0,0,0,0,0,5.140188822004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.163243227262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48115133728,0,0
"23","5-1-90-14-NW",0,0,0,8.09233761960544,0.35813962837,0,0,24.216371124003,0,0,0,0,0,1.836815272502,0,0,16.6385335486859,0,0.0687004645215,0,0,3.989481054916,0,0,0,0,0,0,0,0,0.943116380879,0,0,0,0,0,0,0.620414206545,0,0,0,0,0,0,0,0,0,0,4.063800233378,0,0,0,0,0,0,1.0118168499163,0,0,0,0,0,0,0,0,0.6576166945054,0,0
"24","5-1-90-14-SE",0,0,0,5.5170024011133,47.412850927672,0,0,4.1301199241,0,0,0,0,0,0,0,0,7.799486111803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88049692210783,0,0.559138711766
"25","5-1-90-14-SW",0,0,0,18.006184061082,20.9583978166,0,0,0.504764238141,0.11848797501531,0,0,0,0,0,0,1.219501832803,0,0,0,0,0,6.277039222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.733399467525,0,0,0,0,0,0,0,0,0,0,0,0,0.11848797501614,0,0,0,0,0,0,0,0,0.7391236597472,0,0
"26","5-1-90-15-NE",0,0,0,26.11128455296,2.48357706035,0,0,3.12085245388,0.00101368289078,0,0,0,0,0,0,6.902364134044,16.829138939167,0,0,0,0,2.96167771600178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3775160874097,0,0,0,0,0,0.00101368289078,0,0,0,0,0,0,0,0,0.8180474951867,0,0
"27","5-1-90-15-NW",0,0,3.9326593886161,6.85402186301651,0,0,0,0,16.82215471598,0,0,2.29724579494,0,0,0,0,0.3837251942809,0,0,0,0,0.289474868156,0,0,0,0,0,2.668570377247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.859122701413,0,0,0,0,0,0,1.03282002507,0,0,0,0,0,16.82215471598,0,0,0,0,0,0,0,0,0.42882494506583,0,0
"28","5-1-90-15-SE",0,0,0,0.206570183136,0,0,0,7.766627757215,19.445597554245,0,0,3.72837405386,0,0,0,13.185330271262,2.6875361160138,0,0,0,0,3.103960041126,0,0,0,1.71458702569598,0,0,0,0,0.878820647809,0,0,0,0,0,0,0,0,0,0,0,2.59166760739,0,0,0,0,0,0,1.266389727752,0,0,0,0,0,20.324418203755,0,0,0,0,0,0,0,0,0.48371012374115,0,0
"29","5-1-90-15-SW",0,0,0,26.666467833948,0,0,0,6.2458343709648,31.522662133694,0,0,0,0,0,0,0,0.853813113924,0,0,0,0,0.701018660481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.522662133651,0,0,0,0,0,0,0,0,0.91692869928052,0,0
"30","5-1-90-16-NE",0,0,0.0242070694092,0,0,0,0,5.692932420213,21.97842416918,0,0,0,0,0,0,0,1.4577122357,0,0,0,5.799426007623,5.09313611544,0,0,0.3850023032485,0,0,2.810043102265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6313660272239,0,0,0,0,0,0,0,0,0,0,0,0,21.978424169181,0,0,0,0,0,0,0,0,0.3697477371022,0,0
"31","5-1-90-16-NW",0,0,0,0,12.6512405653,0,0,6.233101198343,8.161974053059,0,0,0,0,0,0,0,7.7260338004135,0,0,0,11.54570809419,2.6425830031956,0,0,0.102230709821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722157396923,0,0,0,0,0,0,0,0,0,0,0,0,8.161974053048,0,0,0,0,0,0,0,0,0.4134946828757,0,0
"32","5-1-90-16-SE",0,0,0,0.0236346478112,0.0468778566548,0,0,16.207990409205,38.37795219286,0,0,0,0,0,0,0,5.680231842186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875240391204,0,0,3.11279594682,0,0,0,0,0,0,0,0,0,38.37795219283,0,0,0,0,0,0,0,0,0.4396084254461,0,0
"33","5-1-90-16-SW",0,0,0,0,7.448419249825,0,0,19.6026510615901,15.7414723899,0,0,0,0,0,0,0,15.59547174022,0,0,0,0,0,0,0,0,0,0,0,0,0,0.887663544651,0,0,0,0,0,0,0,0,0,0,0,8.094635995907,0,0,0.0157554205055546,0.022995997991,0,0,0,0,0,0,0,0,16.629135934547,0,0,0,0,0,0,0,0,1.6694623313261,0,0
"34","5-1-90-17-NE",0,0,0,0,0,0,0,0.674807884946,0,0,2.155682503399,0,0,0,0,0,38.6293172703788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7702385612,0,1.37733160463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.779480181265,0,0
