"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC10","DeciduousCC20","DeciduousCC40","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC10","MixedwoodCC20","MixedwoodCC40","Pine100","Pine120","Pine140","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC10","WhiteSpruceCC20","WhiteSpruceCC40","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Other.Disturbed.Vegetation","Pipeline","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"2360","5-3-93-33-NW",0,0,0.00720778557454,0,0,0,0,19.3505263271378,3.09204028191875,0,0,0,0,0,0,0,0,15.1119325834113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00888989795,23.7268509093876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22501723745054,0,0
"2361","5-3-93-33-SE",0,0,4.68550823421,0,0,0,0,30.532864129478,10.413456947,0,0,0,0,0,0,0,0,8.6784826641973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.329980334312,1.977363066962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968755034667,0,0
"2362","5-3-93-33-SW",0,0,3.76008234931,0,0,0,0,37.461277532823,6.62713196130186,0,0,0,0,0,0,0,0,11.9552595269727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32025371839,1.9083303276251,0,0,0,0,0,0,0,1.8468926646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49112473734137,0,0
"2363","5-3-93-34-NE",0,0,4.56202389258739,0,0,0,0,41.7344496634364,4.15362586161387,0,0,0,0,0,0,0,0,1.17673127046301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.492526537242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993647014692,0,0
"2364","5-3-93-34-NW",0,0,3.84684226744527,0,0,0,0,30.2317999917994,5.47896746929395,0,0,0,0,0,0,0,0,24.773776699923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8914294462662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3946102150141,0,0
"2365","5-3-93-34-SE",0,0,4.61801035185,0,0,0,0,27.822870876896,18.4202182231652,0,0,0,0,0,0,0,3.77795179652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186587732322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625810243354,0,0
"2366","5-3-93-34-SW",0,0,5.52891358744,0,0,0,0,40.8351954279261,7.6359947536,0,0,0,0,0,0,0,0,0.0484908922345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.935400330547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.911103212764033,0,0
"2367","5-3-93-35-NE",0,0,2.49569071108,0,0,0,0,17.6430038128973,3.60724249333,0,0,0,0,0,0,0,1.49679457475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3765386592381,1.01170477841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4836235568574,0,0
"2368","5-3-93-35-NW",0,0,0,0,0,0,0,21.8759709795117,4.474163709245,0,0,0,0,0,0,0,6.23861090809,6.25033927550103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4531060732134,1.97340986841104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4935317808252,0,0
"2369","5-3-93-35-SE",0,0,0,0,0,0,0,18.8747755658442,5.14796532636,0,0,0,0,0,0,0,1.934045277176,3.403251316869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.55103875526,1.0565332832,0,0,0,0,0,0,0,2.88669791045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97875033715049,0,0
"2370","5-3-93-35-SW",0,0,2.26811535213e-05,0,0,0,0,21.179677118871,2.40984411637,0,0,0,0,0,0,0,13.13227687989,6.464832490441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3221896615407,0,0,0,0,0,0,0,0,0.149631819106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5871005756218,0,0
"2371","5-3-93-36-NE",0,0,0,1.20900181464072,0,0,0,9.21448959434948,0,0,0,0,2.22605394200066,0,0,0,0,1.80014955300762,0,0,0,0,0,0,28.5018126262262,0,0,0,0,0,0,0,0,0,5.040013734261,0,0,16.6112944766678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64086117419051,0,0
