"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC40","DeciduousCC60","DeciduousCC80","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC40","MixedwoodCC60","MixedwoodCC80","MixedwoodUP40","MixedwoodUP60","MixedwoodUP80","NA.","Pine100","Pine120","Pine140","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","PineCC40","PineCC60","PineCC80","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC40","WhiteSpruceCC60","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Other.Disturbed.Vegetation","Pipeline","Rail..Hard.Surface","Rail..Vegetated.Verge","Reservoirs","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"21","4-1-74-11-SW",0,0,0,19.169393089795,23.2750611835371,0,0,0,0.751727194887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4194265492545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32622266564329,0,0
"22","4-1-74-12-NE",0,0,0.318761661346,30.2844467682,12.234609206595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.932770698008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5435290094718,0,0
"23","4-1-74-12-NW",0,0,0,11.930746095034,0,0,0,0,23.88642586643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1967806953249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019308488561,0,0
"24","4-1-74-12-SE",0,0,0,1.32342739072,0,0,0,0,2.77472345146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.288681734877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63318413365154,0,0
"25","4-1-74-12-SW",0,0,1.297671969109,5.1787319627062,1.54095828849,0,0,0,9.149526665086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64139871683,4.980465208935,0,0,29.9374271346113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4635667283954,0,0
"26","4-1-74-13-NE",0,0,0,0.398318054459,0.233162865318844,0,0,0,6.921599796075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35739974627,0,0,0,0,0,0,0,0,0,0,0,0,42.3520338951396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978922728867,0,0
"27","4-1-74-13-NW",0,0,0,11.025871663002,13.341016194053,0,0,0,14.99230796191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.963876350764,0,0,0,0,0,0,0,0,0,0,0,0,21.2738752484715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","4-1-74-13-SE",0,0,5.762669939728,16.324809305811,5.3605406887876,0,0,0,0,0,0,0,0,0,0,0,0,1.07770844873,0,0,0,0,0,0,0,0,0,0,0,0.781512080253,0,0,0,0,0,0,0,0,2.68829923493,0,0,0,31.063587150842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5101699010875,0,0
"29","4-1-74-13-SW",0,0,0,17.7634210017833,4.782978825424,0,0,0,15.5131257950549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5180385680485,0,0,0,0,0,0,0,0,0,0,0,0,7.4924773633441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","4-1-74-14-NE",0,0,8.429680904989,23.666924678905,4.56770225866,0,0,0,1.06204022224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5294911534358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
